Index: Init, Total -- indiv
32295: 3060.0, 2048.824 -- [  118.174  1930.65 ]
32502: 3060.0, 1644.271 -- [ 1364.58    279.691]
32862: 3060.0, 3059.997 -- [ 2952.44    107.557]
32946: 3060.0, 1326.4759999999999 -- [ 335.123  991.353]
32995: 3060.0, 885.701 -- [ 687.579  198.122]
33057: 3060.0, 2800.2760000000003 -- [ 2242.86    557.416]
33084: 3060.0, 2029.567 -- [ 1813.7     215.867]
33284: 3060.0, 2511.16 -- [  101.1   2410.06]
33489: 3060.0, 2789.25 -- [ 1365.58  1423.67]
33531: 3060.0, 1604.5865000000001 -- [ 1583.17      21.4165]
33578: 3060.0, 3059.999 -- [  263.149  2796.85 ]
33581: 3060.0, 2414.902 -- [  377.122  2037.78 ]
33641: 3060.0, 2205.209 -- [  261.199  1944.01 ]
33786: 3060.0, 2430.383 -- [  295.183  2135.2  ]
33845: 3060.0, 3060.003 -- [ 2784.28    275.723]
33869: 3060.0, 215.9034 -- [  62.5874  153.316 ]
33999: 3060.0, 3060.002 -- [  236.642  2823.36 ]
34339: 3060.0, 2512.077 -- [ 1867.13    644.947]
34348: 3060.0, 2570.419 -- [  477.299  2093.12 ]
34468: 3060.0, 2713.0478 -- [   12.1178  2700.93  ]
34800: 3060.0, 2492.265 -- [ 2021.85    470.415]
34865: 3060.0, 3060.0020000000004 -- [ 2759.26    300.742]
35144: 3060.0, 2674.232 -- [ 2473.33    200.902]
35195: 3060.0, 3060.002 -- [ 2633.89    426.112]
35200: 3060.0, 3059.99627 -- [  416.248    2447.75        7.95927   188.039  ]
35407: 3060.0, 3059.9990000000003 -- [  192.139  2867.86 ]
35462: 3060.0, 2714.547 -- [  110.237  2604.31 ]
35465: 3060.0, 580.317 -- [ 319.204  261.113]
35495: 3060.0, 2768.36 -- [ 1219.39  1548.97]
35890: 3060.0, 2829.568 -- [  299.648  2529.92 ]
35891: 3060.0, 2031.383 -- [ 1891.73    139.653]
35903: 3060.0, 1752.3029999999999 -- [ 1583.07    169.233]
36065: 3060.0, 860.123 -- [ 807.076   53.047]
36146: 3060.0, 572.773 -- [ 170.105  402.668]
36296: 3060.0, 3060.0000000000005 -- [  271.722  2267.11    521.168]
36357: 3060.0, 2637.7198000000003 -- [ 2581.36      56.3598]
36419: 3060.0, 3060.004 -- [  180.844  2879.16 ]
36422: 3060.0, 3060.0 -- [ 2766.98   293.02]
36426: 3060.0, 2762.52 -- [ 2537.37   225.15]
36498: 3060.0, 3060.0040000000004 -- [  275.704  2784.3  ]
36575: 3060.0, 2720.3940000000002 -- [  384.184  2336.21 ]
36720: 3060.0, 3060.0 -- [ 2933.62   126.38]
36827: 3060.0, 2674.7017 -- [   59.0717  2615.63  ]
37007: 3060.0, 3060.003 -- [ 2923.73    136.273]
37030: 3060.0, 3059.9970000000003 -- [  161.327  2898.67 ]
37110: 3060.0, 2695.713 -- [  319.833  2375.88 ]
37280: 3060.0, 3060.005 -- [  156.795  2903.21 ]
37342: 3060.0, 2882.326 -- [  153.176  2729.15 ]
37481: 3060.0, 2162.566 -- [  332.856  1829.71 ]
37665: 3060.0, 597.9467999999999 -- [ 557.583    40.3638]
37734: 3060.0, 2415.7035 -- [   43.5835  2372.12  ]
37815: 3060.0, 2918.7467 -- [   53.4067  2865.34  ]
38062: 3060.0, 3059.998 -- [ 2915.71    144.288]
38086: 3060.0, 2918.3506 -- [ 2830.01      88.3406]
38274: 3060.0, 933.456 -- [ 283.403  650.053]
